branch_trigger_threshold,branch_budget,num_cases,candidate_pool_recall_count,candidate_pool_recall,num_correct,accuracy,mean_selected_requests,mean_total_replayed_requests,median_total_replayed_requests,p90_total_replayed_requests,p95_total_replayed_requests,max_total_replayed_requests,triggered_case_count_by_probability,branch_cases_with_saved_rows,branch_rows_replayed,extra_roots_total,overrides_applied,candidate_pool_misses,misses
0.000707,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,31,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000777,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,30,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.00078,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,30,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.001095,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,28,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.001173,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,27,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.001256,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,26,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.001431,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,25,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.001684,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,24,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.00202,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,22,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.002164,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,21,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.002763,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,21,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.002911,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,20,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.003491,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,19,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.005379,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,17,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.006396,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,17,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.020835,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,15,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.023684,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,15,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.025,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,14,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.033872,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,14,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.036037,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,12,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.037945,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,11,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.05,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,11,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.057263,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,11,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.058586,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,10,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.075,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,9,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.09436,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,8,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.1,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,8,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.116507,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,7,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.128641,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,6,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.15,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,6,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.2,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,6,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.225,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,6,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.3,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,6,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.5,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,6,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.75,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,6,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.8,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,6,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.805,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,6,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
